設計柱名: 1F C119 (ETABS: 2F C119)
======================================================================================================================================================
unit: ton-m for MOMENT, TORSION and SHEAR(such as Mu Vu Tu,...)
      kg-cm for else

(1) 已知條件
======================================================================================================================================================
fc'  =      280 kg/cm2
fy   =     4200 kg/cm2
fys  =     4200 kg/cm2
Dmaj =       80 cm
Dmin =       80 cm
Hn   =      610 cm

(2) 柱彈性分析所得之應力
======================================================================================================================================================
COLUMN FORCES AT LEVEL 1F       IN FRAME SPACE FRAME
                                                          (T-m)             (T)           (T-m)             (T)             (T)           (T-m)
            COL          OUTPUT          OUTPUT           MAJOR           MAJOR           MINOR           MINOR           AXIAL       TORSIONAL
             ID              ID           POINT          MOMENT           SHEAR          MOMENT           SHEAR           FORCE          MOMENT
------------------------------------------------------------------------------------------------------------------------------------------------------
           C119             EQV           0.000          0.1004          0.8111          2.9268            0.03        -17.9923           0.000
           C119             EQV           2.650          0.0094          0.8111          0.7775            0.03        -17.4055           0.000
           C119             EQV           5.300         -0.0817          0.8111         -1.3718            0.03        -16.8187           0.000
           C119          SPECXF           0.000         18.4528         18.3235         66.9340            5.33         24.0469           0.000
           C119          SPECXF           2.650          4.3458         18.3235         18.7061            5.33         24.0469           0.000
           C119          SPECXF           5.300          9.7869         18.3235         30.5758            5.33         24.0469           0.000
           C119          SPECYF           0.000        150.3235          0.9289          3.3646           43.46          1.2452           0.001
           C119          SPECYF           2.650         35.2204          0.9289          0.9185           43.46          1.2452           0.001
           C119          SPECYF           5.300         80.0355          0.9289          1.5690           43.46          1.2452           0.001
           C119           USS01           0.000          1.0712          8.6514         31.2197            0.37       -191.9175           0.000
           C119           USS01           2.650          0.1001          8.6514          8.2935            0.37       -185.6586           0.000
           C119           USS01           5.300         -0.8711          8.6514        -14.6327            0.37       -179.3997           0.000
           C119           USS02           0.000          1.8373         18.1108         66.7160            0.64       -229.2761           0.000
           C119           USS02           2.650          0.1542         18.1108         18.7224            0.64       -224.5819           0.000
           C119           USS02           5.300         -1.5288         18.1108        -29.2712            0.64       -219.8877           0.000
           C119           USS03           0.000         -7.5289         29.4274        108.1793           -2.07       -223.2226          -0.000
           C119           USS03           2.650         -2.0441         29.4274         30.1967           -2.07       -218.3524          -0.000
           C119           USS03           5.300          3.4407         29.4274        -47.7860           -2.07       -213.4821          -0.000
           C119           USS04           0.000          4.0661         29.4313        108.1853            1.27       -223.2505           0.000
           C119           USS04           2.650          0.6919         29.4313         30.1924            1.27       -218.3802           0.000
           C119           USS04           5.300         -2.6824         29.4313        -47.8005            1.27       -213.5100           0.000
           C119           USS05           0.000         10.4884         -1.4359         -5.4672            3.09       -182.1215           0.000
           C119           USS05           2.650          2.2988         -1.4359         -1.6621            3.09       -177.2513           0.000
           C119           USS05           5.300         -5.8908         -1.4359          2.1430            3.09       -172.3811           0.000
           C119           USS06           0.000         -1.1066         -1.4397         -5.4731           -0.25       -182.0936          -0.000
           C119           USS06           2.650         -0.4372         -1.4397         -1.6578           -0.25       -177.2234          -0.000
           C119           USS06           5.300          0.2323         -1.4397          2.1575           -0.25       -172.3532          -0.000
           C119           USS07           0.000        113.0790         14.0448         51.4636           32.72       -202.9565           0.000
           C119           USS07           2.650         26.3799         14.0448         14.2447           32.72       -198.0863           0.000
           C119           USS07           5.300        -60.3192         14.0448        -22.9741           32.72       -193.2161           0.000
           C119           USS08           0.000         99.2064         14.0402         51.4564           28.72       -202.9232           0.000
           C119           USS08           2.650         23.1065         14.0402         14.2498           28.72       -198.0529           0.000
           C119           USS08           5.300        -52.9934         14.0402        -22.9568           28.72       -193.1827           0.000
           C119           USS09           0.000       -110.1195         13.9467         51.2486          -31.70       -202.3875          -0.000
           C119           USS09           2.650        -26.1252         13.9467         14.2899          -31.70       -197.5173          -0.000
           C119           USS09           5.300         57.8692         13.9467        -22.6688          -31.70       -192.6471          -0.000
           C119           USS10           0.000        -96.2469         13.9513         51.2557          -27.70       -202.4209          -0.000
           C119           USS10           2.650        -22.8518         13.9513         14.2848          -27.70       -197.5507          -0.000
           C119           USS10           5.300         50.5433         13.9513        -22.6861          -27.70       -192.6805          -0.000
           C119           USS11           0.000         -7.5892         28.9408        106.4232           -2.09       -212.4272          -0.000
           C119           USS11           2.650         -2.0497         28.9408         29.7302           -2.09       -207.9091          -0.000
           C119           USS11           5.300          3.4897         28.9408        -46.9629           -2.09       -203.3909          -0.000
           C119           USS12           0.000          4.0059         28.9446        106.4292            1.25       -212.4551           0.000
           C119           USS12           2.650          0.6862         28.9446         29.7259            1.25       -207.9369           0.000
           C119           USS12           5.300         -2.6334         28.9446        -46.9774            1.25       -203.4188           0.000
           C119           USS13           0.000         10.4281         -1.9225         -7.2233            3.07       -171.3261           0.000
           C119           USS13           2.650          2.2932         -1.9225         -2.1286            3.07       -166.8080           0.000
           C119           USS13           5.300         -5.8418         -1.9225          2.9661            3.07       -162.2898           0.000
           C119           USS14           0.000         -1.1669         -1.9264         -7.2293           -0.27       -171.2983          -0.000
           C119           USS14           2.650         -0.4428         -1.9264         -2.1243           -0.27       -166.7801          -0.000
           C119           USS14           5.300          0.2813         -1.9264          2.9806           -0.27       -162.2620          -0.000
           C119           USS15           0.000        113.0187         13.5582         49.7074           32.70       -192.1612           0.000
           C119           USS15           2.650         26.3743         13.5582         13.7782           32.70       -187.6430           0.000
           C119           USS15           5.300        -60.2702         13.5582        -22.1510           32.70       -183.1249           0.000
           C119           USS16           0.000         99.1461         13.5536         49.7003           28.70       -192.1278           0.000
           C119           USS16           2.650         23.1009         13.5536         13.7833           28.70       -187.6096           0.000
           C119           USS16           5.300        -52.9444         13.5536        -22.1337           28.70       -183.0915           0.000
           C119           USS17           0.000       -110.1798         13.4600         49.4925          -31.72       -191.5922          -0.000
           C119           USS17           2.650        -26.1308         13.4600         13.8234          -31.72       -187.0740          -0.000
           C119           USS17           5.300         57.9182         13.4600        -21.8457          -31.72       -182.5559          -0.000
           C119           USS18           0.000        -96.3071         13.4647         49.4996          -27.72       -191.6255          -0.000
           C119           USS18           2.650        -22.8574         13.4647         13.8183          -27.72       -187.1074          -0.000
           C119           USS18           5.300         50.5923         13.4647        -21.8630          -27.72       -182.5893          -0.000
           C119           USS19           0.000         -1.1525         19.1930         70.4519           -0.24       -221.4318          -0.000
           C119           USS19           2.650         -0.5175         19.1930         19.5904           -0.24       -216.1508          -0.000
           C119           USS19           5.300          0.1175         19.1930        -31.2711           -0.24       -210.8699          -0.000
           C119           USS20           0.000          2.3260         19.1942         70.4536            0.76       -221.4401           0.000
           C119           USS20           2.650          0.3033         19.1942         19.5891            0.76       -216.1592           0.000
           C119           USS20           5.300         -1.7194         19.1942        -31.2754            0.76       -210.8782           0.000
           C119           USS21           0.000          4.2526          9.9340         36.3579            1.31       -209.1015           0.000
           C119           USS21           2.650          0.7854          9.9340         10.0327            1.31       -203.8205           0.000
           C119           USS21           5.300         -2.6819          9.9340        -16.2924            1.31       -198.5395           0.000
           C119           USS22           0.000          0.7741          9.9329         36.3561            0.31       -209.0931          -0.000
           C119           USS22           2.650         -0.0354          9.9329         10.0340            0.31       -203.8121          -0.000
           C119           USS22           5.300         -0.8450          9.9329        -16.2881            0.31       -198.5312          -0.000
           C119           USS23           0.000         35.0298         14.5782         53.4371           10.20       -215.3520           0.000
           C119           USS23           2.650          8.0097         14.5782         14.8048           10.20       -210.0710           0.000
           C119           USS23           5.300        -19.0105         14.5782        -23.8275           10.20       -204.7901           0.000
           C119           USS24           0.000         30.8680         14.5769         53.4350            9.00       -215.3420           0.000
           C119           USS24           2.650          7.0277         14.5769         14.8063            9.00       -210.0610           0.000
           C119           USS24           5.300        -16.8127         14.5769        -23.8224            9.00       -204.7800           0.000
           C119           USS25           0.000        -31.9297         14.5488         53.3726           -9.13       -215.1813          -0.000
           C119           USS25           2.650         -7.7418         14.5488         14.8183           -9.13       -209.9003          -0.000
           C119           USS25           5.300         16.4461         14.5488        -23.7360           -9.13       -204.6194          -0.000
           C119           USS26           0.000        -27.7679         14.5502         53.3748           -7.93       -215.1913          -0.000
           C119           USS26           2.650         -6.7598         14.5502         14.8168           -7.93       -209.9103          -0.000
           C119           USS26           5.300         14.2483         14.5502        -23.7411           -7.93       -204.6294          -0.000
           C119           USS27           0.000         -1.3534         17.5709         64.5982           -0.31       -185.4473          -0.000
           C119           USS27           2.650         -0.5363         17.5709         18.0353           -0.31       -181.3398          -0.000
           C119           USS27           5.300          0.2809         17.5709        -28.5275           -0.31       -177.2324          -0.000
           C119           USS28           0.000          2.1251         17.5720         64.5999            0.69       -185.4556           0.000
           C119           USS28           2.650          0.2845         17.5720         18.0341            0.69       -181.3482           0.000
           C119           USS28           5.300         -1.5561         17.5720        -28.5318            0.69       -177.2408           0.000
           C119           USS29           0.000          4.0518          8.3119         30.5042            1.24       -173.1169           0.000
           C119           USS29           2.650          0.7666          8.3119          8.4777            1.24       -169.0095           0.000
           C119           USS29           5.300         -2.5186          8.3119        -13.5488            1.24       -164.9021           0.000
           C119           USS30           0.000          0.5733          8.3107         30.5024            0.24       -173.1086          -0.000
           C119           USS30           2.650         -0.0542          8.3107          8.4790            0.24       -169.0012          -0.000
           C119           USS30           5.300         -0.6817          8.3107        -13.5444            0.24       -164.8937          -0.000
           C119           USS31           0.000         34.8290         12.9561         47.5834           10.13       -179.3674           0.000
           C119           USS31           2.650          7.9909         12.9561         13.2498           10.13       -175.2600           0.000
           C119           USS31           5.300        -18.8471         12.9561        -21.0839           10.13       -171.1526           0.000
           C119           USS32           0.000         30.6672         12.9547         47.5813            8.93       -179.3574           0.000
           C119           USS32           2.650          7.0089         12.9547         13.2513            8.93       -175.2500           0.000
           C119           USS32           5.300        -16.6494         12.9547        -21.0787            8.93       -171.1426           0.000
           C119           USS33           0.000        -32.1306         12.9267         47.5189           -9.20       -179.1967          -0.000
           C119           USS33           2.650         -7.7606         12.9267         13.2633           -9.20       -175.0893          -0.000
           C119           USS33           5.300         16.6094         12.9267        -20.9923           -9.20       -170.9819          -0.000
           C119           USS34           0.000        -27.9688         12.9280         47.5211           -8.00       -179.2068          -0.000
           C119           USS34           2.650         -6.7786         12.9280         13.2618           -8.00       -175.0993          -0.000
           C119           USS34           5.300         14.4116         12.9280        -20.9975           -8.00       -170.9919          -0.000
           C119           USS35           0.000         -8.3760         20.5414         75.2624           -2.36       -133.9018          -0.000
           C119           USS35           2.650         -2.1123         20.5414         20.8277           -2.36       -130.2051          -0.000
           C119           USS35           5.300          4.1513         20.5414        -33.6070           -2.36       -126.5085          -0.000
           C119           USS36           0.000          3.2191         20.5452         75.2684            0.98       -133.9297           0.000
           C119           USS36           2.650          0.6236         20.5452         20.8235            0.98       -130.2330           0.000
